"PSComputerName","State","Status","Started","StartMode","Name","DisplayName","PathName","ExitCode","AcceptPause","AcceptStop","Caption","CreationClassName","Description","DesktopInteract","ErrorControl","InstallDate","ServiceType"
"DELLWIN10","Running","OK","True","System","Msfs","Msfs","C:\Windows\system32\drivers\Msfs.sys","0","False","True","Msfs","Win32_SystemDriver","Msfs","False","Normal",,"File System Driver"
"DELLWIN10","Stopped","OK","False","Manual","msgpiowin32","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","C:\Windows\system32\drivers\msgpiowin32.sys","1077","False","False","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","Win32_SystemDriver","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","mshidkmdf","Pass-through HID to KMDF Filter Driver","C:\Windows\system32\drivers\mshidkmdf.sys","1077","False","False","Pass-through HID to KMDF Filter Driver","Win32_SystemDriver","Pass-through HID to KMDF Filter Driver","False","Ignore",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","mshidumdf","Pass-through HID to UMDF Driver","C:\Windows\system32\drivers\mshidumdf.sys","1077","False","False","Pass-through HID to UMDF Driver","Win32_SystemDriver","Pass-through HID to UMDF Driver","False","Ignore",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","msisadrv","msisadrv","C:\Windows\system32\drivers\msisadrv.sys","0","False","True","msisadrv","Win32_SystemDriver","msisadrv","False","Critical",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","MSKSSRV","Microsoft Streaming Service Proxy","C:\Windows\system32\drivers\MSKSSRV.sys","31","False","False","Microsoft Streaming Service Proxy","Win32_SystemDriver","Microsoft Streaming Service Proxy","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Auto","MsLldp","Microsoft Link-Layer Discovery Protocol","C:\Windows\system32\drivers\mslldp.sys","0","False","True","Microsoft Link-Layer Discovery Protocol","Win32_SystemDriver","Microsoft Link-Layer Discovery Protocol","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","MSPCLOCK","Microsoft Streaming Clock Proxy","C:\Windows\system32\drivers\MSPCLOCK.sys","1077","False","False","Microsoft Streaming Clock Proxy","Win32_SystemDriver","Microsoft Streaming Clock Proxy","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","MSPQM","Microsoft Streaming Quality Manager Proxy","C:\Windows\system32\drivers\MSPQM.sys","1077","False","False","Microsoft Streaming Quality Manager Proxy","Win32_SystemDriver","Microsoft Streaming Quality Manager Proxy","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","MsRPC","MsRPC","C:\Windows\system32\drivers\MsRPC.sys","1077","False","False","MsRPC","Win32_SystemDriver","MsRPC","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","MsSecFlt","Microsoft Security Events Component Minifilter","C:\Windows\system32\drivers\mssecflt.sys","0","False","True","Microsoft Security Events Component Minifilter","Win32_SystemDriver","Microsoft Security Events Component Minifilter","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","System","mssmbios","Microsoft System Management BIOS Driver","C:\Windows\system32\drivers\mssmbios.sys","0","False","True","Microsoft System Management BIOS Driver","Win32_SystemDriver","Microsoft System Management BIOS Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","MSTEE","Microsoft Streaming Tee/Sink-to-Sink Converter","C:\Windows\system32\drivers\MSTEE.sys","1077","False","False","Microsoft Streaming Tee/Sink-to-Sink Converter","Win32_SystemDriver","Microsoft Streaming Tee/Sink-to-Sink Converter","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","MTConfig","Microsoft Input Configuration Driver","C:\Windows\system32\drivers\MTConfig.sys","1077","False","False","Microsoft Input Configuration Driver","Win32_SystemDriver","Microsoft Input Configuration Driver","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","Mup","Mup","C:\Windows\system32\Drivers\mup.sys","0","False","True","Mup","Win32_SystemDriver","Mup","False","Normal",,"File System Driver"
"DELLWIN10","Stopped","OK","False","Manual","mvumis","mvumis","C:\Windows\system32\drivers\mvumis.sys","1077","False","False","mvumis","Win32_SystemDriver","mvumis","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Manual","NativeWifiP","NativeWiFi Filter","C:\Windows\system32\DRIVERS\nwifi.sys","0","False","True","NativeWiFi Filter","Win32_SystemDriver","NativeWiFi Filter","False","Normal",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","ndfltr","NetworkDirect Service","C:\Windows\system32\drivers\ndfltr.sys","1077","False","False","NetworkDirect Service","Win32_SystemDriver","NetworkDirect Service","False","Normal",,"Kernel Driver"
"DELLWIN10","Running","OK","True","Boot","NDIS","NDIS System Driver","C:\Windows\system32\drivers\ndis.sys","0","False","True","NDIS System Driver","Win32_SystemDriver","NDIS System Driver","False","Critical",,"Kernel Driver"
"DELLWIN10","Stopped","OK","False","Manual","NdisCap","Microsoft NDIS Capture","C:\Windows\system32\drivers\ndiscap.sys","1077","False","False","Microsoft NDIS Capture","Win32_SystemDriver","Microsoft NDIS Capture","False","Normal",,"Kernel Driver"
