"PSComputerName","Name","Vendor","Version","InstallDate","InstallDate2","InstallLocation","InstallSource","PackageName","PackageCache","RegOwner","HelpLink","HelpTelephone","URLInfoAbout","URLUpdateInfo","Language","Description","IdentifyingNumber"
"DELLWIN10","Adobe Bridge Start Meeting","Adobe Systems Incorporated","1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\BridgeStartMeeting\","BridgeStartMeeting.msi","C:\Windows\Installer\12f713.msi",,,,,,"0","Adobe Bridge Start Meeting","{08B32819-6EEF-4057-AEDA-5AB681A36A23}"
"DELLWIN10","PDF Settings","Adobe Systems Incorporated","1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobePDFSettingsNAEU\","AdobePDFSettingsAll.msi","C:\Windows\Installer\12f781.msi",,,,,,"0","PDF Settings","{AC5B0C19-D851-42F4-BDA0-410ECF7F70A5}"
"DELLWIN10","Adobe Camera Raw 4.0","Adobe Systems Incorporated","4.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeCameraRaw4.0All\","AdobeCameraRaw4.0All.msi","C:\Windows\Installer\12f71d.msi",,,,,,"0","Adobe Camera Raw 4.0","{B3BF6689-A81D-40D8-9A86-4AC4ACD9FC1C}"
"DELLWIN10","Adobe XMP Panels CS3","Adobe Systems Incorporated","1.0","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeXMPPanelsAll\","AdobeXMPPanelsAll.msi","C:\Windows\Installer\12f77c.msi",,,,,,"0","Adobe XMP Panels CS3","{802771A9-A856-4A41-ACF7-1450E523C923}"
"DELLWIN10","Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215","Microsoft Corporation","14.0.24215","20181004",,,"C:\ProgramData\Package Cache\{EF1EC6A9-17DE-3DA9-B040-686A1E8A8B04}v14.0.24215\packages\vcRuntimeAdditional_amd64\","vc_runtimeAdditional_x64.msi","C:\Windows\Installer\116603.msi",,"http://go.microsoft.com/fwlink/?LinkId=133405",,,,"1033","Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24215","{EF1EC6A9-17DE-3DA9-B040-686A1E8A8B04}"
"DELLWIN10","Adobe Photoshop CS3","Adobe Systems Incorporated","10","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobePhotoshop10en_US_volume\","AdobePhotoshop10en_US_volume.msi","C:\Windows\Installer\12f787.msi",,,,,,"0","Adobe Photoshop CS3","{3D7E3EC9-46CF-4359-9289-39CE01DFB82F}"
"DELLWIN10","Adobe Bridge CS3","Adobe Systems Incorporated","2","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeBridge2All\","AdobeBridge2All.msi","C:\Windows\Installer\12f70e.msi",,,,,,"0","Adobe Bridge CS3","{9C9824D9-9000-4373-A6A5-D0E5D4831394}"
"DELLWIN10","Google Update Helper","Google Inc.","1.3.33.17","20181004",,,"C:\Program Files (x86)\Google\Update\1.3.33.17\","GoogleUpdateHelper.msi","C:\Windows\Installer\fc28.msi",,,,,,"1033","Google Update Helper","{60EC980A-BDA2-4CB6-A427-B07A5498B4CA}"
"DELLWIN10","Adobe Version Cue CS3 Client","Adobe Systems Incorporated","3","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeVersionCueClient3All\","AdobeVersionCueClient3All.msi","C:\Windows\Installer\12f772.msi",,,,,,"0","Adobe Version Cue CS3 Client","{D0DFF92A-492E-4C40-B862-A74A173C25C5}"
"DELLWIN10","Adobe Asset Services CS3","Adobe Systems Incorporated","3","20181004",,,"C:\Users\Dan\Desktop\Adobe Photoshop CS3 + Key\Adobe CS3\payloads\AdobeAssetServices3All\","AdobeAssetServices3All.msi","C:\Windows\Installer\12f709.msi",,,,,,"0","Adobe Asset Services CS3","{6FF5DD7A-FE28-4439-B8CF-1E9AF4EA0A61}"
