"PSComputerName","Name","ProcessId","ParentProcessId","Path","WorkingSetSize","Handle","HandleCount","ThreadCount","CreationDate","Description"
"PHOENIX","remoting_native_messaging_host","9076","5656","C:\Program Files (x86)\Google\Chrome Remote Desktop\79.0.3945.10\remoting_native_messaging_host.exe","10543104","9076","232","15",,"remoting_native_messaging_host.exe"
"PHOENIX","chrome","8728","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","444289024","8728","415","19",,"chrome.exe"
"PHOENIX","chrome","8044","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","327569408","8044","376","16",,"chrome.exe"
"PHOENIX","chrome","10056","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","11259904","10056","183","9",,"chrome.exe"
"PHOENIX","chrome","9516","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","184942592","9516","264","16",,"chrome.exe"
"PHOENIX","chrome","8616","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","157712384","8616","285","14",,"chrome.exe"
"PHOENIX","chrome","7260","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","34459648","7260","199","14",,"chrome.exe"
"PHOENIX","chrome","3008","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","42127360","3008","242","14",,"chrome.exe"
"PHOENIX","jucheck","8000","3824","C:\Program Files (x86)\Common Files\Java\Java Update\jucheck.exe","11644928","8000","359","3",,"jucheck.exe"
"PHOENIX","powershell_ise","1308","3408","C:\Windows\System32\WindowsPowerShell\v1.0\powershell_ise.exe","997777408","1308","1662","52",,"powershell_ise.exe"
"PHOENIX","chrome","10128","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","103399424","10128","215","15",,"chrome.exe"
"PHOENIX","chrome","3320","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","77991936","3320","258","14",,"chrome.exe"
"PHOENIX","chrome","10508","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","32780288","10508","148","7",,"chrome.exe"
"PHOENIX","chrome","11336","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","175079424","11336","325","20",,"chrome.exe"
"PHOENIX","conhost","5652","1308","C:\Windows\system32\conhost.exe","5722112","5652","82","2",,"conhost.exe"
"PHOENIX","chrome","14452","8172","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","20557824","14452","198","20",,"chrome.exe"
"PHOENIX","SearchProtocolHost","14668","5032","C:\Windows\system32\SearchProtocolHost.exe","8937472","14668","333","7",,"SearchProtocolHost.exe"
"PHOENIX","SearchFilterHost","14884","5032","C:\Windows\system32\SearchFilterHost.exe","6041600","14884","148","11",,"SearchFilterHost.exe"
"PHOENIX","powershell","14832","1308","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","82718720","14832","593","20",,"powershell.exe"
"PHOENIX","conhost","14532","14832","C:\Windows\system32\conhost.exe","4493312","14532","48","1",,"conhost.exe"
"PHOENIX","dllhost","14780","812","C:\Windows\system32\DllHost.exe","4096000","14780","96","5",,"dllhost.exe"
"PHOENIX","wsmprovhost","14892","812","C:\Windows\system32\wsmprovhost.exe","67616768","14892","544","24",,"wsmprovhost.exe"
