Port,TCP,UDP,Description,Status,Range Type,Plain / Cypher Text
5591,TCP,,"Default for Tidal Enterprise Scheduler master-Socket used for communication between Agent-to-Master, though can be changed[citation needed]",Unofficial,Registered,
5631,TCP,,"pcANYWHEREdata, Symantec pcAnywhere (version 7.52 and later) data",Official,Registered,
5632,,UDP,"pcANYWHEREstat, Symantec pcAnywhere (version 7.52 and later) status",Official,Registered,
6541,TCP,,MirrorOp2 (default),Unofficial,Registered,
6542,TCP,,MirrorOp2 (fallback),Unofficial,Registered,
5656,TCP,,IBM Lotus Sametime p2p file transfer,Unofficial,Registered,
5666,TCP,,NRPE (Nagios),Unofficial,Registered,
5667,TCP,,NSCA (Nagios),Unofficial,Registered,
5670,TCP,,FILEMQ ZeroMQ File Message Queuing Protocol,Official,Registered,
5670,,UDP,ZRE-DISC ZeroMQ Realtime Exchange Protocol (Discovery),Official,Registered,
5672,TCP,,AMQP,Official,Registered,
5678,,UDP,Mikrotik RouterOS Neighbor Discovery Protocol (MNDP),Unofficial,Registered,
5683,,UDP,Constrained Application Protocol (CoAP),Official,Registered,
5700,,UDP,Camstreams Media Encoder Connects Remote Camera to Server Port,Unofficial,Registered,
5718,TCP,,Microsoft DPM Data Channel (with the agent coordinator),Unofficial,Registered,
5719,TCP,,Microsoft DPM Data Channel (with the protection agent),Unofficial,Registered,
5723,TCP,,System Center Operations Manager,Unofficial,Registered,
5724,TCP,,Operations Manager Console,Unofficial,Registered,
5741,TCP,UDP,IDA Discover Port 1,Official,Registered,
5742,TCP,UDP,IDA Discover Port 2,Official,Registered,
5800,TCP,,VNC remote desktop protocol over HTTP,Unofficial,Registered,
5814,TCP,UDP,Hewlett-Packard Support Automation (HP OpenView Self-Healing Services)[citation needed],Official,Registered,
5850,TCP,,COMIT SE (PCR)[citation needed],Unofficial,Registered,
5852,TCP,,Adeona client: communications to OpenDHT[citation needed],Unofficial,Registered,
5881,TCP,,SAP Americas Cockpit Framework,Unofficial,Registered,
5900,TCP,UDP,Remote Frame Buffer protocol (RFB),Official,Registered,
5900,TCP,,Virtual Network Computing (VNC) remote desktop protocol,Unofficial,Registered,
5912,TCP,,"Tidal Enterprise Scheduler agent default, for Master-to-Agent[citation needed]",Unofficial,Registered,
5931,TCP,UDP,AMMYY admin Remote Control,Official,Registered,
5938,TCP,UDP,TeamViewer remote desktop protocol,Unofficial,Registered,
5984,TCP,UDP,CouchDB database server,Official,Registered,
5985,TCP,,"Windows PowerShell Default PSSession Port that uses Windows Remote Management Service (WinRM), is an HTTP based remote management and shell protocol for Windows. The Windows Remote Management Service is responsible for this functionality. If WinRM is not configured for remote access, but the service is started, it listens for local requests on TCP port 47001. If you create listener it will still listen on 47001, but also on the default TCP ports 5985 (HTTP) and 5986 (HTTPS).",Official,Registered,
5986,TCP,,"Windows PowerShell Default PSSession Port that uses Windows Remote Management Service (WinRM), is an HTTP based remote management and shell protocol for Windows. The Windows Remote Management Service is responsible for this functionality. If WinRM is not configured for remote access, but the service is started, it listens for local requests on TCP port 47001. If you create listener it will still listen on 47001, but also on the default TCP ports 5985 (HTTP) and 5986 (HTTPS).",Official,Registered,
5988-5989,TCP,,CIM XML transactions over HTTP/S-VMware vCenter ESXi management,Unofficial,Registered,
5999,TCP,,CVSup file update tool,Official,Registered,
6000-6063,TCP,UDP,X11-used between an X client and server over the network,Official,Registered,
6005,TCP,,Default for BMC Software Control-M/Server-Socket used for communication between Control-M processes-though often changed during installation,Unofficial,Registered,
6005,TCP,,Default for Camfrog chat & cam client,Unofficial,Registered,
6009,TCP,,JD Edwards EnterpriseOne ERP system JDENet messaging client listener,Unofficial,Registered,
6050,TCP,,Arcserve backup,Unofficial,Registered,
6050,TCP,,Nortel software[citation needed],Unofficial,Registered,
6051,TCP,,Arcserve backup,Unofficial,Registered,
6072,TCP,,iOperator Protocol Signal Port[citation needed],Unofficial,Registered,
6086,TCP,,"Peer Distributed Transfer Protocol (PDTP), FTP like file server in a P2P network",Official,Registered,
6100,TCP,,Vizrt System,Unofficial,Registered,
6100,TCP,,Ventrilo authentication for version 3,Official,Registered,
6101,TCP,,Backup Exec Agent Browser[citation needed],Unofficial,Registered,
6110,TCP,UDP,"softcm, HP Softbench CM",Official,Registered,
6111,TCP,UDP,"spc, HP Softbench Sub-Process Control",Official,Registered,
6112,TCP,UDP,"dtspcd, execute commands and launch applications remotely",Official,Registered,
6112,TCP,UDP,"Blizzard's Battle.net gaming service and some games, ArenaNet gaming service, Relic gaming service",Unofficial,Registered,
6112,TCP,,Club Penguin Disney online game for kids,Unofficial,Registered,
6113,TCP,,"Club Penguin Disney online game for kids, Used by some Blizzard games",Unofficial,Registered,
6129,TCP,,DameWare Remote Control,Official,Registered,
6136,TCP,,ObjectDB database server[self-published source?],Unofficial,Registered,
6159,TCP,,ARINC 840 EFB Application Control Interface,Official,Registered,
6200,TCP,,Oracle WebCenter Content Portable: Content Server (With Native UI) and Inbound Refinery,Unofficial,Registered,
6201,TCP,,Oracle WebCenter Content Portable: Admin,Unofficial,Registered,
6225,TCP,,Oracle WebCenter Content Portable: Content Server Web UI,Unofficial,Registered,
6227,TCP,,Oracle WebCenter Content Portable: JavaDB,Unofficial,Registered,
6230,TCP,,Codenger Dev Server,Unofficial,Registered,
6240,TCP,,Oracle WebCenter Content Portable: Capture,Unofficial,Registered,
6244,TCP,UDP,Oracle WebCenter Content Portable: Content Server-Intradoc Socket port,Unofficial,Registered,
6255,TCP,UDP,Oracle WebCenter Content Portable: Inbound Refinery-Intradoc Socket port,Unofficial,Registered,
6257,,UDP,WinMX (see also 6699),Unofficial,Registered,
6260,TCP,UDP,planet M.U.L.E.,Unofficial,Registered,
6262,TCP,,Sybase Advantage Database Server,Unofficial,Registered,
6324,TCP,UDP,Hall Research Device discovery and configuration,Official,Registered,
6343,,UDP,"SFlow, sFlow traffic monitoring",Official,Registered,
6346,TCP,UDP,"gnutella-svc, gnutella (FrostWire, Limewire, Shareaza, etc.)",Official,Registered,
6347,TCP,UDP,"gnutella-rtr, Gnutella alternate",Official,Registered,
6350,TCP,UDP,App Discovery and Access Protocol,Official,Registered,
6379,TCP,,Redis key-value data store,Official,Registered,
6389,TCP,,EMC CLARiiON,Unofficial,Registered,
6432,TCP,,PgBouncer-A connection pooler for PostgreSQL,Official,Registered,
6436,TCP,,Leap Motion Websocket Server TLS,Unofficial,Registered,
6437,TCP,,Leap Motion Websocket Server,Unofficial,Registered,
6444,TCP,UDP,Sun Grid Engine Qmaster Service,Official,Registered,
6445,TCP,UDP,Sun Grid Engine Execution Service,Official,Registered,
6502,TCP,UDP,Netop Remote Control,Unofficial,Registered,
6513,TCP,,NETCONF over TLS,Official,Registered,
6514,TCP,,Syslog over TLS,Official,Registered,
6515,TCP,UDP,Elipse RPC Protocol (REC),Official,Registered,
6522,TCP,,Gobby (and other libobby-based software),Unofficial,Registered,
6523,TCP,,Gobby 0.5 (and other libinfinity-based software),Unofficial,Registered,
6543,TCP,,Pylons project#Pyramid Default Pylons Pyramid web service port,Unofficial,Registered,
6556,TCP,,Check MK Agent,Unofficial,Registered,
6566,TCP,,SANE (Scanner Access Now Easy)-SANE network scanner daemon,Official,Registered,
6560-6561,TCP,,Speech-Dispatcher daemon,Unofficial,Registered,
6571,,,Windows Live FolderShare client,Unofficial,Registered,
6600,TCP,,Microsoft Hyper-V Live,Official,Registered,
6600,TCP,,Music Player Daemon (MPD),Unofficial,Registered,
6601,TCP,,Microsoft Forefront Threat Management Gateway,Official,Registered,
6602,TCP,,Microsoft Windows WSS Communication,Official,Registered,
6619,TCP,UDP,"odette-ftps, Odette File Transfer Protocol (OFTP) over TLS/SSL",Official,Registered,
6622,TCP,UDP,Multicast FTP,Official,Registered,
6646,,UDP,McAfee Network Agent[citation needed],Unofficial,Registered,
6653,TCP,,Openflow 1.3,Official,Registered,
6660-6664,TCP,,Internet Relay Chat (IRC),Unofficial,Registered,
6665-6669,TCP,,Internet Relay Chat (IRC),Official,Registered,
6679,TCP,UDP,Osorno Automation Protocol (OSAUT),Official,Registered,
6679,TCP,,IRC SSL (Secure Internet Relay Chat)-often used,Unofficial,Registered,
6690,TCP,,Synology Cloud station,Unofficial,Registered,
6697,TCP,,IRC SSL (Secure Internet Relay Chat)-often used,Official,Registered,
6699,TCP,,WinMX (see also 6257),Unofficial,Registered,
6702,TCP,,"Default for Tidal Enterprise Scheduler client-Socket used for communication between Client-to-Master, though can be changed[citation needed]",Unofficial,Registered,
6715,TCP,,AberMUD and derivatives default port,Unofficial,Registered,
6771,,UDP,Polycom server broadcast[citation needed],Unofficial,Registered,
6783-6785,TCP,,Splashtop Remote server broadcast,Unofficial,Registered,
6789,TCP,,Campbell Scientific Loggernet Software,Unofficial,Registered,
6789,TCP,,Bucky's Instant Messaging Program,Unofficial,Registered,
6869,TCP,,Derandom default server,Unofficial,Registered,
6881-6887,TCP,UDP,BitTorrent part of full range of ports used most often,Unofficial,Registered,
6888,TCP,UDP,MUSE,Official,Registered,
6888,TCP,UDP,BitTorrent part of full range of ports used most often,Unofficial,Registered,
6889-6890,TCP,UDP,BitTorrent part of full range of ports used most often,Unofficial,Registered,
6891-6900,TCP,UDP,BitTorrent part of full range of ports used most often,Unofficial,Registered,
6891-6900,TCP,UDP,Windows Live Messenger (File transfer),Unofficial,Registered,
6901,TCP,UDP,Windows Live Messenger (Voice),Unofficial,Registered,
6901,TCP,UDP,BitTorrent part of full range of ports used most often,Unofficial,Registered,
6902-6968,TCP,UDP,BitTorrent part of full range of ports used most often,Unofficial,Registered,
6969,TCP,UDP,acmsoda,Official,Registered,
6969,TCP,,BitTorrent tracker,Unofficial,Registered,
6970-6999,TCP,UDP,BitTorrent part of full range of ports used most often,Unofficial,Registered,
6970-9999,,UDP,QuickTime Streaming Server,Unofficial,Registered,
7000,TCP,,Default for Vuze's built in HTTPS Bittorrent Tracker,Unofficial,Registered,
7000,TCP,,Avira Server Management Console,Unofficial,Registered,
7001,TCP,,Avira Server Management Console,Unofficial,Registered,
7001,TCP,,"Default for BEA WebLogic Server's HTTP server, though often changed during installation",Unofficial,Registered,
7002,TCP,,"Default for BEA WebLogic Server's HTTPS server, though often changed during installation",Unofficial,Registered,
7005,TCP,,"Default for BMC Software Control-M/Server and Control-M/Agent for Agent-to-Server, though often changed during installation",Unofficial,Registered,
7006,TCP,,"Default for BMC Software Control-M/Server and Control-M/Agent for Server-to-Agent, though often changed during installation",Unofficial,Registered,
7010,TCP,,Default for Cisco AON AMC (AON Management Console),Unofficial,Registered,
7022,TCP,,Database mirroring endpoints,Unofficial,Registered,
7023,,UDP,Bryan Wilcutt T2-NMCS Protocol for SatCom Modems,Official,Registered,
7025,TCP,,Zimbra LMTP [mailbox]-local mail delivery,Unofficial,Registered,
7047,TCP,,Zimbra conversion server,Unofficial,Registered,
7070,TCP,UDP,"Real Time Streaming Protocol (RTSP), used by QuickTime Streaming Server. TCP is used by default, UDP is used as an alternate.",Unofficial,Registered,
7080,,,Sepialine Argos Communications port,Unofficial,Registered,
7133,TCP,,Enemy Territory: Quake Wars,Unofficial,Registered,
7144,TCP,,Peercast[citation needed],Unofficial,Registered,
7145,TCP,,Peercast[citation needed],Unofficial,Registered,
7171,TCP,,Tibia,Unofficial,Registered,
7262,TCP,UDP,CNAP (Calypso Network Access Protocol),Official,Registered,
7272,TCP,UDP,WatchMe - WatchMe Monitoring,Official,Registered,
7306,TCP,,Zimbra mysql [mailbox][citation needed],Unofficial,Registered,
7307,TCP,,Zimbra mysql [logger][citation needed],Unofficial,Registered,
7312,,UDP,Sibelius License Server,Unofficial,Registered,
7396,TCP,,Web control interface for Folding@home v7.3.6 and later,Unofficial,Registered,
7400,TCP,UDP,RTPS (Real Time Publish Subscribe) DDS Discovery,Official,Registered,
7401,TCP,UDP,RTPS (Real Time Publish Subscribe) DDS User-Traffic,Official,Registered,
7402,TCP,UDP,RTPS (Real Time Publish Subscribe) DDS Meta-Traffic,Official,Registered,
7471,TCP,,Stateless Transport Tunneling (STT),Unofficial,Registered,
7473,TCP,,Rise: The Vieneo Province,Official,Registered,
7474,TCP,,Neo4J Server webadmin,Official,Registered,
7478,TCP,,Default port used by Open iT Server.,Official,Registered,
7542,TCP,UDP,Saratoga file transfer protocol,Official,Registered,
7547,TCP,UDP,CPE WAN Management Protocol (CWMP) Technical Report 069,Official,Registered,
7575,,UDP,Populous: The Beginning server,Unofficial,Registered,
7624,TCP,UDP,Instrument Neutral Distributed Interface,Official,Registered,
7631,TCP,,ERLPhase,Official,Registered,
7634,TCP,,hddtemp-Utility to monitor hard drive temperature,Unofficial,Registered,
7652-7654,TCP,,I2P anonymizing overlay network,Unofficial,Registered,
7655,,UDP,I2P SAM Bridge Socket API,Unofficial,Registered,
7656-7660,TCP,,I2P anonymizing overlay network,Unofficial,Registered,
7670,TCP,,BrettspielWelt BSW Boardgame Portal,Unofficial,Registered,
7676,TCP,,Aqumin AlphaVision Remote Command Interface[citation needed],Unofficial,Registered,
7687,TCP,,Bolt database connection,Official,Registered,
7700,,UDP,P2P DC (RedHub)[citation needed],Unofficial,Registered,
7707-7708,,UDP,Killing Floor,Unofficial,Registered,
7717,,UDP,Killing Floor,Unofficial,Registered,
7777,TCP,,iChat server file transfer proxy,Unofficial,Registered,
7777,TCP,,Oracle Cluster File System 2[citation needed],Unofficial,Registered,
7777,TCP,,Windows backdoor program tini.exe default[citation needed],Unofficial,Registered,
7777,TCP,,Just Cause 2: Multiplayer Mod Server[citation needed],Unofficial,Registered,
7777,TCP,,Xivio default Chat Server[citation needed],Unofficial,Registered,
7777,TCP,,Terraria default server,Unofficial,Registered,
7777,,UDP,San Andreas Multiplayer (SA-MP) default port server,Unofficial,Registered,
7778,TCP,,Bad Trip MUD[citation needed],Unofficial,Registered,
7777-7788,TCP,UDP,Unreal Tournament series default server[citation needed],Unofficial,Registered,
7787-7788,TCP,,GFI EventsManager 7 & 8[citation needed],Official,Registered,
7831,TCP,,Default used by Smartlaunch Internet Cafe Administration software,Unofficial,Registered,
7880,TCP,UDP,PowerSchool Gradebook Server[citation needed],Unofficial,Registered,
7890,TCP,,Default that will be used by the iControl Internet Cafe Suite Administration software,Unofficial,Registered,
7915,TCP,,Default for YSFlight server,Unofficial,Registered,
7935,TCP,,"Fixed port used for Adobe Flash Debug Player to communicate with a debugger (Flash IDE, Flex Builder or fdb).",Unofficial,Registered,
7990,TCP,,Atlassian Bitbucket (default port)[citation needed],Unofficial,Registered,
8000,TCP,,"Commonly used for Internet radio streams such as SHOUTcast[citation needed], Icecast[citation needed] and iTunes Radio",Unofficial,Registered,
8000,?,?,DynamoDB Local[self-published source?],Unofficial,Registered,
8000,?,?,Django Development Webserver[self-published source?],Unofficial,Registered,
8005,TCP,,Tomcat remote shutdown,Unofficial,Registered,
8006,TCP,,Quest AppAssure 5 API,Unofficial,Registered,
8007,TCP,,Quest AppAssure 5 Engine,Unofficial,Registered,
8008,TCP,UDP,Alternative port for HTTP. See also ports 80 and 8080.,Official,Registered,
8008,TCP,,IBM HTTP Server administration default[importance?],Unofficial,Registered,
8008,TCP,,"iCal, a calendar application by Apple",Unofficial,Registered,
8009,TCP,,Apache JServ Protocol (ajp13)[citation needed],Unofficial,Registered,
8042,?,?,Orthanc - REST API over HTTP[self-published source?],Unofficial,Registered,
8069,TCP,,OpenERP 5.0 XML-RPC protocol[self-published source?],Unofficial,Registered,
8070,TCP,,OpenERP 5.0 NET-RPC protocol[self-published source?],Unofficial,Registered,
8074,TCP,UDP,Gadu-Gadu,Official,Registered,
8075,TCP,,Killing Floor web administration interface[citation needed],Unofficial,Registered,
8080,TCP,UDP,Alternative port for HTTP. See also ports 80 and 8008.,Official,Registered,Plain Text
8080,TCP,,Apache Tomcat[citation needed],Unofficial,Registered,
8080,TCP,,Atlassian JIRA applications[self-published source?],Unofficial,Registered,
8088,TCP,,Asterisk management access via HTTP[citation needed],Unofficial,Registered,
8089,TCP,,Splunk daemon management[citation needed],Unofficial,Registered,
8089,TCP,,Fritz!Box automatic TR-709 configuration[verify translation],Unofficial,Registered,
8090,?,?,Atlassian Confluence[self-published source?],Unofficial,Registered,
8090,TCP,,Coral Content Distribution Network (legacy; 80 and 8080 now supported),Unofficial,Registered,
8091,?,?,CouchBase web administration,Unofficial,Registered,
8092,?,?,CouchBase API,Unofficial,Registered,
8111,TCP,,JOSM Remote Control,Unofficial,Registered,
8112,TCP,,PAC Pacifica Coin,Unofficial,Registered,
8116,,UDP,Check Point Cluster Control Protocol,Unofficial,Registered,
8118,TCP,,Privoxy-advertisement-filtering Web proxy,Official,Registered,
8123,TCP,,Polipo Web proxy,Official,Registered,
8123,TCP,,Bukkit DynMap Default Webserver Bind Address,Unofficial,Registered,
8139,TCP,,Puppet (software) Client agent,Unofficial,Registered,
8140,TCP,,Puppet (software) Master server,Official,Registered,
8172,TCP,,Microsoft Remote Administration for IIS Manager,Unofficial,Registered,
8176,TCP,,Indigo Domotics Indigo Home automation server-control access,Unofficial,Registered,
8180,TCP,,EasyLog server-management and monitoring,Unofficial,Registered,
8184,TCP,,NCSA Brown Dog Data Access Proxy,Unofficial,Registered,
8194,TCP,,Bloomberg Application,Official,Registered,
8195,TCP,,Bloomberg Application,Unofficial,Registered,
8200,TCP,,GoToMyPC,Unofficial,Registered,
8200,TCP,,MiniDLNA media server Web Interface,,Registered,
8222,TCP,,VMware Server Management User Interface (insecure Web interface). See also port 8333,Unofficial,Registered,
8243,TCP,UDP,HTTPS listener for Apache Synapse,Official,Registered,
8245,TCP,,Dynamic DNS for at least No-IP and DyDNS,Unofficial,Registered,
8280,TCP,UDP,HTTP listener for Apache Synapse,Official,Registered,
8281,TCP,,HTTP Listener for Gatecraft Plugin,Unofficial,Registered,
8291,TCP,,Winbox-Default on a MikroTik RouterOS for a Windows application used to administer MikroTik RouterOS,Unofficial,Registered,
8303,,UDP,Teeworlds Server,Unofficial,Registered,
8330,TCP,,"MultiBit HD, ",Unofficial,Registered,
8331,TCP,,"MultiBit, ",Unofficial,Registered,
8332,TCP,,Bitcoin JSON-RPC server,Unofficial,Registered,
8333,TCP,,Bitcoin,Unofficial,Registered,
8333,TCP,,VMware Server Management User Interface (secure Web interface). See also port 8222,Unofficial,Registered,
8337,TCP,,VisualSVN Distributed File System Service (VDFS),Unofficial,Registered,
8384,TCP,,Syncthing web GUI,Unofficial,Registered,
8400,TCP,UDP,"cvd, CommVault Unified Data Management",Official,Registered,
8442,TCP,UDP,"CyBro A-bus, Cybrotech Ltd.",Official,Registered,
8443,TCP,,SW Soft Plesk Control Panel,Unofficial,Registered,
8443,TCP,,Apache Tomcat SSL,Unofficial,Registered,
8443,TCP,,Promise WebPAM SSL,Unofficial,Registered,
8443,TCP,,McAfee ePolicy Orchestrator (ePO),Unofficial,Registered,
8443,TCP,,iCal over SSL,Unofficial,Registered,
8444,TCP,,Bitmessage,Unofficial,Registered,
8484,TCP,,MapleStory Login Server,Unofficial,Registered,
8500,TCP,,Adobe ColdFusion built-in web server[self-published source?],Unofficial,Registered,
8530,?,?,Windows Server Update Services over HTTP[further explanation needed],Unofficial,Registered,
8531,?,?,Windows Server Update Services over HTTPS[further explanation needed],Unofficial,Registered,
8580,?,?,"Freegate, an Internet anonymizer and proxy tool",Unofficial,Registered,
8629,TCP,,Tibero database[citation needed],Unofficial,Registered,
8642,TCP,,Lotus Notes Traveler auto synchronization for Windows Mobile and Nokia devices,Unofficial,Registered,
8691,TCP,,"Ultra Fractal, a fractal generation and rendering software application - distributed calculations over networked computers[self-published source?]",Unofficial,Registered,
8767,,UDP,"Voice channel of TeamSpeak 2, a proprietary Voice over IP protocol targeted at gamers[citation needed]",Unofficial,Registered,
8834,?,?,"Nessus, a vulnerability scanner - remote XML-RPC web server[third-party source needed]",Unofficial,Registered,
8840,?,?,"Opera Unite, an extensible framework for web applications",Unofficial,Registered,
8880,TCP,,"Alternate port of CDDB (Compact Disc Database) protocol, used to look up audio CD (compact disc) information over the Internet.See also port 888.",Official,Registered,
8880,?,?,IBM WebSphere Application Server SOAP connector[jargon],Unofficial,Registered,
8883,TCP,UDP,Secure MQTT (MQTT over TLS),Official,Registered,
8887,?,?,HyperVM over HTTP[citation needed],Unofficial,Registered,
8888,?,?,HyperVM over HTTPS[citation needed],Unofficial,Registered,
8888,?,UDP,Freenet over HTTP[citation needed],Unofficial,Registered,
8888,?,?,Default for IPython[self-published source?] / Jupyter[self-published source?] notebook dashboards,Unofficial,Registered,
8888,?,?,MAMP web server[citation needed],Unofficial,Registered,
8889,?,?,MAMP MySQL database server[citation needed],Unofficial,Registered,
8983,TCP,,Apache Solr[better source needed],Unofficial,Registered,
8997,?,?,Alternate port for I2P Monotone Proxy[jargon],Unofficial,Registered,
8998,?,?,I2P Monotone Proxy[jargon],Unofficial,Registered,
8999,?,?,Alternate port for I2P Monotone Proxy[jargon],Unofficial,Registered,
9000,TCP,,SonarQube Web Server,Unofficial,Registered,
9000,TCP,,DBGp,Unofficial,Registered,
9000,TCP,,SqueezeCenter web server & streaming,Unofficial,Registered,
9000,,UDP,UDPCast,Unofficial,Registered,
9000,TCP,,Play! Framework web server,Unofficial,Registered,
9000,TCP,,Hadoop NameNode default port,Unofficial,Registered,
9000,TCP,,PHP-FPM default port,Unofficial,Registered,
9000,TCP,,QBittorrent's embedded torrent tracker default port,Unofficial,Registered,
9001,TCP,UDP,ETL Service Manager,Official,Registered,
9001,,,Microsoft SharePoint authoring environment,Unofficial,Registered,
9001,,,cisco-xremote router configuration[citation needed],Unofficial,Registered,
9001,,,Tor network default,Unofficial,Registered,
9001,TCP,,DBGp Proxy,Unofficial,Registered,
9001,TCP,,HSQLDB default port,Unofficial,Registered,
9002,,,Newforma Server comms,Unofficial,Registered,
9006,,,De-Commissioned Port,Official,Registered,
9006,TCP,,Tomcat in standalone mode,Unofficial,Registered,
9009,TCP,UDP,Pichat Server-Peer to peer chat software,Official,Registered,
9010,TCP,,TISERVICEMANAGEMENT Numara Track-It!,Unofficial,Registered,
9020,TCP,,WiT WiT Services,Official,Registered,
9025,TCP,,WiT WiT Services,Official,Registered,
9030,TCP,,Tor often used,Unofficial,Registered,
9042,TCP,,Apache Cassandra native protocol clients,Unofficial,Registered,
9043,TCP,,WebSphere Application Server Administration Console secure,Unofficial,Registered,
9050-9051,TCP,,Tor,Unofficial,Registered,
9060,TCP,,WebSphere Application Server Administration Console,Unofficial,Registered,
9080,TCP,UDP,"glrpc, Groove Collaboration software GLRPC",Official,Registered,
9080,TCP,,WebSphere Application Server HTTP Transport (port 1) default,Unofficial,Registered,
9080,TCP,,"Remote Potato by FatAttitude, Windows Media Center addon",Unofficial,Registered,
9080,TCP,,"ServerWMC, Windows Media Center addon",Unofficial,Registered,
9090,TCP,UDP,WebSM,Unofficial,Registered,
9090,TCP,,"Webwasher, Secure Web, McAfee Web Gateway-Default Proxy Port[citation needed]",Unofficial,Registered,
9090,TCP,,Openfire Administration Console,Unofficial,Registered,
9090,TCP,,SqueezeCenter control (CLI),Unofficial,Registered,
9090,TCP,,Cherokee Admin Panel,Unofficial,Registered,
9091,TCP,,Openfire Administration Console (SSL Secured),Unofficial,Registered,
9091,TCP,,Transmission (BitTorrent client) Web Interface,Unofficial,Registered,
9092,TCP,,H2 (DBMS) Database Server,Unofficial,Registered,
9100,TCP,UDP,"PDL Data Stream, used for printing to certain network printers",Official,Registered,
9101,TCP,UDP,Bacula Director,Official,Registered,
9102,TCP,UDP,Bacula File Daemon,Official,Registered,
9103,TCP,UDP,Bacula Storage Daemon,Official,Registered,
9105,TCP,UDP,Xadmin Control Daemon,Official,Registered,
9106,TCP,UDP,Astergate Control Daemon,Official,Registered,
9107,TCP,,Astergate-FAX Control Daemon,Official,Registered,
9110,,UDP,SSMP Message protocol,Unofficial,Registered,
9119,TCP,UDP,MXit Instant Messenger,Official,Registered,
9150,TCP,,Tor,Unofficial,Registered,
9191,TCP,,Catamount Software-PocketMoney Sync[citation needed],Unofficial,Registered,
9191,TCP,,Sierra Wireless Airlink,Unofficial,Registered,
9199,TCP,,Avtex LLC-qStats,Unofficial,Registered,
9200,TCP,,Elasticsearch-default Elasticsearch port,Unofficial,Registered,
9217,TCP,,iPass Platform Service,Unofficial,Registered,
9293,TCP,,Sony PlayStation RemotePlay,Unofficial,Registered,
9300,TCP,,IBM Cognos 8 SOAP Business Intelligence and Performance Management,Unofficial,Registered,
9303,,UDP,D-Link Shareport Share storage and MFP printers,Unofficial,Registered,
9306,TCP,,Sphinx Native API,Official,Registered,
9309,TCP,UDP,Sony PlayStation Vita Host Collaboration WiFi Data Transfer,Unofficial,Registered,
9312,TCP,,Sphinx SphinxQL,Official,Registered,
9332,TCP,,Litecoin JSON-RPC server,Unofficial,Registered,
9333,TCP,,Litecoin,Unofficial,Registered,
9339,TCP,,"Clash of Clans, a mobile freemium strategy video game",Unofficial,Registered,
9389,TCP,UDP,"adws, Microsoft AD DS Web Services, Powershell uses this port",Official,Registered,
9418,TCP,UDP,"git, Git pack transfer service",Official,Registered,
9419,TCP,,MooseFS distributed file system - master control port[self-published source],Unofficial,Registered,
9420,TCP,,MooseFS distributed file system - master command port[self-published source],Unofficial,Registered,
9421,TCP,,MooseFS distributed file system - master client port[self-published source],Unofficial,Registered,
9422,TCP,,MooseFS distributed file system - Chunkservers[self-published source],Unofficial,Registered,
9425,TCP,,MooseFS distributed file system - CGI server[self-published source],Unofficial,Registered,
9443,TCP,,VMware Websense Triton console (HTTPS port used for accessing and administrating a vCenter Server via the Web Management Interface),Unofficial,Registered,
9443,TCP,,NCSA Brown Dog Data Tilling Service,Unofficial,Registered,
9485,TCP,,Linz TCP Server Chat TCP Connection used for chat.,Unofficial,Registered,
9535,TCP,UDP,"mngsuite, LANDesk Management Suite Remote Control",Official,Registered,
9536,TCP,UDP,"laes-bf, IP Fabrics Surveillance buffering function",Official,Registered,
9600,,UDP,"Omron FINS, OMRON FINS PLC communication",Official,Registered,
9675,TCP,UDP,"Spiceworks Desktop, IT Helpdesk Software",Unofficial,Registered,
9676,TCP,UDP,"Spiceworks Desktop, IT Helpdesk Software",Unofficial,Registered,
9695,,UDP,CCNx,Official,Registered,
9785,TCP,UDP,Viber,Unofficial,Registered,
9800,TCP,UDP,WebDAV Source,Official,Registered,
9800,,,WebCT e-learning portal,Unofficial,Registered,
9875,TCP,,Club Penguin Disney online game for kids,Unofficial,Registered,
9898,TCP,,Tripwire-File Integrity Monitoring Software,Unofficial,Registered,
9899,,UDP,"SCTP tunneling (port number used in SCTP packets encapsulated in UDP, RFC 6951)",Official,Registered,
9981,TCP,,TVHeadend HTTP server (web interface),Unofficial,Registered,
9982,TCP,,TVHeadend HTSP server (Streaming protocol),Unofficial,Registered,
9987,,UDP,TeamSpeak 3 server default (voice) port (for the conflicting service see the IANA list),Unofficial,Registered,
9993,,UDP,ZeroTier Default port for ZeroTier,Unofficial,Registered,
9996,TCP,,"AdRem Software, Inc.'s NetCrunch NetFlow collector port. This port can be changed ",Unofficial,Registered,
9997,TCP,,Splunk port for communication between the forwarders and indexers,Unofficial,Registered,
9999,,,Hydranode edonkey2000 Telnet control,Unofficial,Registered,
9999,TCP,,Lantronix UDS-10/UDS100 RS-485 to Ethernet Converter Telnet control,Unofficial,Registered,
9999,,,Urchin Web Analytics[citation needed],Unofficial,Registered,
9999,,,India VitalEdge,Unofficial,Registered,
10000,TCP,UDP,Network Data Management Protocol,Official,Registered,
10000,,,BackupExec,Unofficial,Registered,
10000,,,Ericsson Account Manager (avim)[citation needed],Unofficial,Registered,
10000,,,"Webmin, Web-based Unix/Linux system administration tool (default port)",Unofficial,Registered,
