Port,TCP,UDP,Description,Status,Range Type,Plain / Cypher Text
427,TCP,UDP,Service Location Protocol (SLP),Official,Well-Known,
433,TCP,UDP,"NNSP, part of Network News Transfer Protocol",Official,Well-Known,
434,TCP,UDP,Mobile IP Agent (RFC 5944),Official,Well-Known,
443,TCP SCTP,UDP,Hypertext Transfer Protocol over TLS/SSL (HTTPS),Official,Well-Known,
443,,UDP,QUIC (from Chromium) for HTTPS,Unofficial,Well-Known,Cypher Text
444,TCP,UDP,"Simple Network Paging Protocol (SNPP), RFC 1568",Official,Well-Known,
444,TCP,,Well known Slither.io port,Unofficial,Well-Known,
445,TCP,,"Microsoft-DS Active Directory, Windows shares",Official,Well-Known,
445,TCP,,Microsoft-DS SMB file sharing,Official,Well-Known,Plain Text (v3 is Cypher Text)
464,TCP,UDP,Kerberos Change/Set password,Official,Well-Known,
465,TCP,,URL Rendezvous Directory for SSM (Cisco protocol),Official,Well-Known,
465,TCP,,Authenticated SMTP over TLS/SSL (SMTPS),Unofficial,Well-Known,
475,TCP,UDP,"tcpnethaspsrv, Aladdin Knowledge Systems Hasp services",Official,Well-Known,
491,TCP,,GO-Global remote access and application publishing software,Unofficial,Well-Known,
497,TCP,,Dantz Retrospect,Official,Well-Known,
500,TCP,UDP,Internet Security Association and Key Management Protocol (ISAKMP) / Internet Key Exchange (IKE),Official,Well-Known,
502,TCP,UDP,Modbus Protocol,Official,Well-Known,
504,TCP,UDP,"Citadel, multiservice protocol for dedicated clients for the Citadel groupware system",Official,Well-Known,
510,TCP,UDP,"FirstClass Protocol (FCP), used by FirstClass client/server groupware system",Official,Well-Known,
512,TCP,,"Rexec, Remote Process Execution",Official,Well-Known,
512,,UDP,"comsat, together with biff",Official,Well-Known,
513,TCP,,rlogin,Official,Well-Known,
513,,UDP,Who,Official,Well-Known,
514,TCP,,"Remote Shell, used to execute non-interactive commands on a remote system (Remote Shell, rsh, remsh)",Official,Well-Known,
514,,UDP,"Syslog, used for system logging",Official,Well-Known,Plain Text
515,TCP,,"Line Printer Daemon (LPD), print service",Official,Well-Known,
517,,UDP,Talk,Official,Well-Known,
518,,UDP,NTalk,Official,Well-Known,
520,TCP,,"efs, extended file name server",Official,Well-Known,
520,,UDP,Routing Information Protocol (RIP),Official,Well-Known,
521,,UDP,Routing Information Protocol Next Generation (RIPng),Official,Well-Known,
524,TCP,UDP,"NetWare Core Protocol (NCP) is used for a variety things such as access to primary NetWare server resources, Time Synchronization, etc.",Official,Well-Known,
525,,UDP,"Timed, Timeserver",Official,Well-Known,
530,TCP,UDP,Remote procedure call (RPC),Official,Well-Known,
531,TCP,UDP,AOL Instant Messenger,Unofficial,Well-Known,
532,TCP,,netnews,Official,Well-Known,
533,,UDP,"netwall, For Emergency Broadcasts",Official,Well-Known,
540,TCP,,Unix-to-Unix Copy Protocol (UUCP),Official,Well-Known,
542,TCP,UDP,commerce (Commerce Applications),Official,Well-Known,
543,TCP,,"klogin, Kerberos login",Official,Well-Known,
544,TCP,,"kshell, Kerberos Remote shell",Official,Well-Known,
545,TCP,,"OSIsoft PI (VMS), OSISoft PI Server Client Access",Unofficial,Well-Known,
546,TCP,UDP,DHCPv6 client,Official,Well-Known,
547,TCP,UDP,DHCPv6 server,Official,Well-Known,
548,TCP,,Apple Filing Protocol (AFP) over TCP,Official,Well-Known,
550,TCP,UDP,"new-rwho, new-who",Official,Well-Known,
554,TCP,UDP,Real Time Streaming Protocol (RTSP),Official,Well-Known,
