"Name","Id","ProcessID","Path","StartTime","WorkingSetSize","Handle","HandleCount","ThreadCount","Company","Product","Description","PSComputerName","RunspaceId","PSShowComputerName"
"taskhost","2988","2988","C:\Windows\system32\taskhost.exe","5/24/2020 10:06:12 PM","10076160","2596","450","10","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Tasks","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"svchost","1804","1804","C:\Windows\system32\svchost.exe","5/24/2020 8:41:36 PM","1601536","2552","104","3","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"VSSVC","1860","1860","C:\Windows\system32\vssvc.exe","5/24/2020 9:51:13 PM","708608","2640","111","2","Microsoft Corporation","Microsoft? Windows? Operating System","Microsoft? Volume Shadow Copy Service","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"System","4","4",,"5/24/2020 8:41:08 PM","475136",,"633","107",,,,"Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"taskhost","1620","1620","C:\Windows\system32\taskhost.exe","5/24/2020 8:56:26 PM","13512704","2636","376","9","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Tasks","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"wininit","460","460","C:\Windows\system32\wininit.exe","5/24/2020 9:51:06 PM","90112","2684","76","1","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Start-Up Application","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"VSSVC","1916","1916","C:\Windows\system32\vssvc.exe","5/24/2020 8:41:38 PM","851968","2680","111","2","Microsoft Corporation","Microsoft? Windows? Operating System","Microsoft? Volume Shadow Copy Service","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"wininit","456","456","C:\Windows\system32\wininit.exe","5/24/2020 8:41:15 PM","155648","2724","75","1","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Start-Up Application","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"winlogon","484","484","C:\Windows\system32\winlogon.exe","5/24/2020 8:41:15 PM","241664","2768","119","3","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon Application","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"wsmprovhost","2864","2864","C:\Windows\system32\wsmprovhost.exe","5/27/2020 1:15:41 PM","60043264","2812","377","10","Microsoft Corporation","Microsoft? Windows? Operating System","Host process for WinRM plug-ins","Win81-08","9350ba9c-eb8f-47a9-89e0-48727fc4312a","True"
"winlogon","488","488","C:\Windows\system32\winlogon.exe","5/24/2020 9:51:06 PM","151552","2728","121","3","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon Application","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"wsmprovhost","2888","2888","C:\Windows\system32\wsmprovhost.exe","5/27/2020 1:15:41 PM","60108800","2772","378","10","Microsoft Corporation","Microsoft? Windows? Operating System","Host process for WinRM plug-ins","Win81-06","8f97297b-7785-4932-bfe7-158be3e16ad7","True"
"csrss","396","396",,"5/24/2020 8:41:19 PM","962560",,"246","9",,,,"Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"csrss","448","448",,"5/24/2020 8:41:20 PM","311296",,"90","9",,,,"Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"dllhost","140","140","C:\Windows\system32\DllHost.exe","5/27/2020 1:15:41 PM","3719168","1620","97","6","Microsoft Corporation","Microsoft? Windows? Operating System","COM Surrogate","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"dwm","744","744","C:\Windows\system32\dwm.exe","5/24/2020 8:41:23 PM","757760","1664","181","7","Microsoft Corporation","Microsoft? Windows? Operating System","Desktop Window Manager","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"Idle","0","0",,,"4096",,"0","1",,,,"Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"LogonUI","732","732","C:\Windows\system32\LogonUI.exe","5/24/2020 8:41:22 PM","3108864","1748","372","10","Microsoft Corporation","Microsoft? Windows? Operating System","Windows Logon User Interface Host","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"lsass","552","552","C:\Windows\system32\lsass.exe","5/24/2020 8:41:20 PM","6389760","1792","802","7","Microsoft Corporation","Microsoft? Windows? Operating System","Local Security Authority Process","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"MsMpEng","1216","1216",,"5/24/2020 8:41:31 PM","31252480",,"504","15",,,,"Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"SearchFilterHost","2460","2460","C:\Windows\system32\SearchFilterHost.exe","5/27/2020 1:14:24 PM","4030464","1876","100","3","Microsoft Corporation","Windows? Search","Microsoft Windows Search Filter Host","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"SearchIndexer","2904","2904","C:\Windows\system32\SearchIndexer.exe","5/24/2020 8:43:36 PM","7831552","1920","611","12","Microsoft Corporation","Windows? Search","Microsoft Windows Search Indexer","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"SearchProtocolHost","1296","1296","C:\Windows\system32\SearchProtocolHost.exe","5/27/2020 1:14:24 PM","6688768","1964","303","5","Microsoft Corporation","Windows? Search","Microsoft Windows Search Protocol Host","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"services","544","544",,"5/24/2020 8:41:20 PM","4554752",,"223","1",,,,"Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"smss","312","312",,"5/24/2020 8:41:13 PM","192512",,"44","2",,,,"Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"spoolsv","964","964","C:\Windows\System32\spoolsv.exe","5/24/2020 8:41:27 PM","1445888","2092","339","8","Microsoft Corporation","Microsoft? Windows? Operating System","Spooler SubSystem App","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","300","300","C:\Windows\system32\svchost.exe","5/24/2020 8:41:26 PM","10293248","2136","967","41","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","612","612","C:\Windows\system32\svchost.exe","5/24/2020 8:41:21 PM","3964928","2180","356","9","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","652","652","C:\Windows\system32\svchost.exe","5/24/2020 8:41:22 PM","3047424","2224","334","10","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
"svchost","808","808","C:\Windows\System32\svchost.exe","5/24/2020 8:41:24 PM","10047488","2268","617","19","Microsoft Corporation","Microsoft? Windows? Operating System","Host Process for Windows Services","Win81-07","8fb23e26-5add-4616-a3eb-cc2cd2a2f6af","True"
